,final_legend,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,total_score,Preis (€),volumen
0,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,Parallel,2000,Standard,L1,"0,134","-0,222",,,,"-0,353","-0,428",,"43,670","733,200"
1,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,Parallel,2000,Standard,L2,"0,091","-0,135",,,,"-0,268","-0,355",,"43,670","733,200"
2,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,Parallel,2000,Standard,L3,"0,211","-0,056",,,,"-0,200","-0,217",,"43,670","733,200"
3,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,Parallel,2000,Kompensiert,L1,"0,134","-0,222",,,,"-0,354","-0,428",,"95,950","710,200"
4,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,Parallel,2000,Kompensiert,L2,"0,091","-0,135",,,,"-0,268","-0,354",,"95,950","710,200"
5,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,Parallel,2000,Kompensiert,L3,"0,211","-0,055",,,,"-0,200","-0,217",,"95,950","710,200"
6,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,Parallel,2000,FFP,L1,"0,376","0,058",,,,"-0,081","-0,103",,"146,010","778,733"
7,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,Parallel,2000,FFP,L2,"0,445","0,111",,,,"-0,029","-0,509",,"146,010","778,733"
8,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,Parallel,2000,FFP,L3,"0,405","0,146",,,,"0,017","-0,007",,"146,010","778,733"
9,Redur 2025 12 05 1057-Redur-13A1030.3ffp-2000A-0R0  | Parallel,Parallel,2000,FFP,L1,"0,661","0,162",,,,"-0,014","-0,018",,"146,010","778,733"
10,Redur 2025 12 05 1057-Redur-13A1030.3ffp-2000A-0R0  | Parallel,Parallel,2000,FFP,L2,"0,672","0,272",,,,"0,062","0,038",,"146,010","778,733"
11,Redur 2025 12 05 1057-Redur-13A1030.3ffp-2000A-0R0  | Parallel,Parallel,2000,FFP,L3,"0,635","0,255",,,,"0,089","0,075",,"146,010","778,733"
12,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,Parallel,2000,Standard,L1,"0,196","-0,068",,,,"-0,477","-2,671",,"45,500","634291,000"
13,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,Parallel,2000,Standard,L2,"0,201","-0,014",,,,"-1,971","-4,240",,"45,500","634291,000"
14,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,Parallel,2000,Standard,L3,"0,401","0,083",,,,"-0,427","-3,071",,"45,500","634291,000"
15,Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,Dreieck,2000,Standard,L1,"0,183","-0,103",,,,"-0,273","-0,317",,"45,500","634291,000"
16,Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,Dreieck,2000,Standard,L2,"0,530","-0,026",,,,"-0,211","-0,230",,"45,500","634291,000"
17,Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,Dreieck,2000,Standard,L3,"0,480","0,072",,,,"-0,153","-0,758",,"45,500","634291,000"
18,Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,Dreieck,2000,Kompensiert,L1,"0,114","-0,115",,,,"-0,306","-0,338",,"95,950","710,200"
19,Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,Dreieck,2000,Kompensiert,L2,"0,220","-0,134",,,,"-0,279","-0,299",,"95,950","710,200"
20,Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,Dreieck,2000,Kompensiert,L3,"0,232","-0,110",,,,"-0,252","-0,295",,"95,950","710,200"
21,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,Dreieck,2000,Standard,L1,"0,133","-0,097",,,,"-0,284","-0,305",,"43,670","733,200"
22,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,Dreieck,2000,Standard,L2,"-0,279","-0,248",,,,"-0,204","-0,232",,"43,670","733,200"
23,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,Dreieck,2000,Standard,L3,"0,016","-0,044",,,,"-0,163","-0,166",,"43,670","733,200"
24,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,Dreieck,2000,FFP,L1,"0,473","0,022",,,,"-0,120","-0,121",,"146,010","778,733"
25,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,Dreieck,2000,FFP,L2,"0,338","0,088",,,,"-0,094","-1,533",,"146,010","778,733"
26,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,Dreieck,2000,FFP,L3,"0,471","0,111",,,,"0,126","-0,070",,"146,010","778,733"
27,Redur 2025 12 08 1305-Redur-13A1030.3ffp-2000A-0R0  | Dreieck,Dreieck,2000,FFP,L1,"0,389","0,118",,,,"-0,025","-0,037",,"146,010","778,733"
28,Redur 2025 12 08 1305-Redur-13A1030.3ffp-2000A-0R0  | Dreieck,Dreieck,2000,FFP,L2,"0,512","0,188",,,,"0,029","-0,272",,"146,010","778,733"
29,Redur 2025 12 08 1305-Redur-13A1030.3ffp-2000A-0R0  | Dreieck,Dreieck,2000,FFP,L3,"0,690","0,224",,,,"0,099","0,076",,"146,010","778,733"
30,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,Dreieck,3000,Standard,L1,"0,138","-0,174","-0,257","-0,314","-0,343","-0,385","-0,685","104,101","71,510","1520,000"
31,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,Dreieck,3000,Standard,L2,"0,201","-0,093","-0,173","-0,196","-0,201","-0,207","-0,227","75,045","71,510","1520,000"
32,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,Dreieck,3000,Standard,L3,"0,330","0,059","-0,050","-0,113","-0,136","-0,035","-0,018","73,706","71,510","1520,000"
33,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,Dreieck,2500,Kompensiert,L1,"-0,029","-0,186","-0,229","-0,255","-0,259","-0,279","-0,305","88,058","104,200","1027,000"
34,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,Dreieck,2500,Kompensiert,L2,"0,009","-0,140","-0,188","-0,222","-0,242","-0,275","-0,549","67,479","104,200","1027,000"
35,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,Dreieck,2500,Kompensiert,L3,"0,102","-0,077","-0,126","-0,171","-0,192","-0,229","-0,317","53,399","104,200","1027,000"
36,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,Dreieck,2500,Standard,L1,"0,159","-0,107","-0,247","-1,678","-3,337","-5,066","-8,278","179,874","45,500","634291,000"
37,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,Dreieck,2500,Standard,L2,"0,073","-0,204","-0,316","-1,568","-1,763","-1,834","-1,950","143,548","45,500","634291,000"
38,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,Dreieck,2500,Standard,L3,"0,182","-0,139","-0,256","-1,126","-2,232","-3,452","-5,437","159,314","45,500","634291,000"
39,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,Dreieck,3000,Kompensiert,L1,"0,273","-0,093","-0,170","-0,184","-0,163","-0,141","-0,076","83,930","346,060","1520,000"
40,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,Dreieck,3000,Kompensiert,L2,"0,296","0,022","-0,073","-0,108","-0,088","-0,073","0,097","56,013","346,060","1520,000"
41,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,Dreieck,3000,Kompensiert,L3,"0,338","0,153","0,137","0,169","-0,037","-0,045","-0,046","112,323","346,060","1520,000"
