final_legend,hersteller,modell,geometrie,nennstrom,technologie,Preis (€),volumen,5% In_L1,5% In_L2,5% In_L3,20% In_L1,20% In_L2,20% In_L3,50% In_L1,50% In_L2,50% In_L3,80% In_L1,80% In_L2,80% In_L3,90% In_L1,90% In_L2,90% In_L3,100% In_L1,100% In_L2,100% In_L3,120% In_L1,120% In_L2,120% In_L3,,,hersteller,modell,geometrie,nennstrom,technologie,Nieder_L1,Nieder_L2,Nieder_L3,Nenn_L1,Nenn_L2,Nenn_L3,Ueber_L1,Ueber_L2,Ueber_L3,Nieder_Ges,Nenn_Ges,Ueber_Ges,Gesamt,Verbesserung
Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2000,Standard,"45,5",634291,"0,196","0,201","0,401","-0,068","-0,014","0,083",,,,,,,,,,"-0,477","-1,971","-0,427","-2,671","-4,24","-3,071",,,Celsa,ALO 10030,Parallel,2000,Standard,"0,06","0,09","0,24","-0,48","-1,97","-0,43","-2,67","-4,24","-3,07","0,13","-0,05","-0,74","-1,38","9,07"
Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2000,Standard,"45,5",634291,"0,183","0,53","0,48","-0,103","-0,026","0,072",,,,,,,,,,"-0,273","-0,211","-0,153","-0,317","-0,23","-0,758",,,Celsa,ALO 10030,Dreieck,2000,Standard,"0,04","0,25","0,28","-0,27","-0,21","-0,15","-0,32","-0,23","-0,76","0,19","0,09","-0,07","-0,15",
Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,"95,95","710,2","0,134","0,091","0,211","-0,222","-0,135","-0,055",,,,,,,,,,"-0,354","-0,268","-0,2","-0,428","-0,354","-0,217",,,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,"-0,04","-0,02","0,08","-0,35","-0,27","-0,20","-0,43","-0,35","-0,22","0,00","-0,10","-0,18","-0,20","1,09"
Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,Celsa,ALO 8030 K,Dreieck,2000,Kompensiert,"95,95","710,2","0,114","0,22","0,232","-0,115","-0,134","-0,11",,,,,,,,,,"-0,306","-0,279","-0,252","-0,338","-0,299","-0,295",,,Celsa,ALO 8030 K,Dreieck,2000,Kompensiert,"0,00","0,04","0,06","-0,31","-0,28","-0,25","-0,34","-0,30","-0,30","0,03","-0,07","-0,17","-0,19",
MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,MBS,ASK101.4,Parallel,2000,Standard,"43,67","733,2","0,134","0,091","0,211","-0,222","-0,135","-0,056",,,,,,,,,,"-0,353","-0,268","-0,2","-0,428","-0,355","-0,217",,,MBS,ASK101.4,Parallel,2000,Standard,"-0,04","-0,02","0,08","-0,35","-0,27","-0,20","-0,43","-0,36","-0,22","0,00","-0,10","-0,18","-0,20","1,12"
MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,MBS,ASK101.4,Dreieck,2000,Standard,"43,67","733,2","0,133","-0,279","0,016","-0,097","-0,248","-0,044",,,,,,,,,,"-0,284","-0,204","-0,163","-0,305","-0,232","-0,166",,,MBS,ASK101.4,Dreieck,2000,Standard,"0,02","-0,26","-0,01","-0,28","-0,20","-0,16","-0,31","-0,23","-0,17","-0,09","-0,19","-0,17","-0,18",
Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,Redur,13A1030.3ffp,Parallel,2000,FFP,"146,01","778,733","0,376","0,445","0,405","0,058","0,111","0,146",,,,,,,,,,"-0,081","-0,029","0,017","-0,103","-0,509","-0,007",,,Redur,13A1030.3ffp,Parallel,2000,FFP,"0,22","0,28","0,28","-0,08","-0,03","0,02","-0,10","-0,51","-0,01","0,26","0,16","0,06","0,01","-0,06"
Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,Redur,13A1030.3ffp,Dreieck,2000,FFP,"146,01","778,733","0,473","0,338","0,471","0,022","0,088","0,111",,,,,,,,,,"-0,12","-0,094","0,126","-0,121","-1,533","-0,07",,,Redur,13A1030.3ffp,Dreieck,2000,FFP,"0,25","0,21","0,29","-0,12","-0,09","0,13","-0,12","-1,53","-0,07","0,25","0,13","0,03","-0,12",
Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2500,Standard,"45,5",634291,"-0,061","0,06","0,18","-0,214","-0,117","0,031","-0,653","-2,732","-0,119","-7,423","-11,571","-5,352","-10,056","-14,277","-7,856","-12,37","-16,623","-10,099","-16,238","-20,565","-13,862",,,Celsa,ALO 10030,Parallel,2500,Standard,"-0,31","-0,93","0,03","-9,95","-14,16","-7,77","-16,24","-20,57","-13,86","-0,40","-3,62","-8,03","-9,31","3,59"
Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2500,Standard,"45,5",634291,"0,159","0,073","0,182","-0,107","-0,204","-0,139","-0,247","-0,316","-0,256","-1,678","-1,568","-1,126","-3,337","-1,763","-2,232","-5,066","-1,834","-3,452","-8,278","-1,95","-5,437",,,Celsa,ALO 10030,Dreieck,2500,Standard,"-0,07","-0,15","-0,07","-3,36","-1,72","-2,27","-8,28","-1,95","-5,44","-0,10","-1,19","-1,72","-2,59",
