,final_legend,hersteller,modell,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,total_score,Preis (€),volumen
0,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,MBS,ASK101.4,Parallel,2000,Standard,L1,"0,134","-0,222",,,,"-0,353","-0,428",,"43,67","733,2"
1,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,MBS,ASK101.4,Parallel,2000,Standard,L2,"0,091","-0,135",,,,"-0,268","-0,355",,"43,67","733,2"
2,MBS 2025 12 04 1415-MBS-ASK101.4-2000A-8R1  | Parallel ,MBS,ASK101.4,Parallel,2000,Standard,L3,"0,211","-0,056",,,,"-0,2","-0,217",,"43,67","733,2"
3,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,L1,"0,134","-0,222",,,,"-0,354","-0,428",,"95,95","710,2"
4,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,L2,"0,091","-0,135",,,,"-0,268","-0,354",,"95,95","710,2"
5,Celsa 2025 12 04 1506-Celsa-ALO 8030 K-2000A-8R1  | Parallel,Celsa,ALO 8030 K,Parallel,2000,Kompensiert,L3,"0,211","-0,055",,,,"-0,2","-0,217",,"95,95","710,2"
6,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,Redur,13A1030.3ffp,Parallel,2000,FFP,L1,"0,376","0,058",,,,"-0,081","-0,103",,"146,01","778,733"
7,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,Redur,13A1030.3ffp,Parallel,2000,FFP,L2,"0,445","0,111",,,,"-0,029","-0,509",,"146,01","778,733"
8,Redur 2025 12 05 1020-Redur-13A1030.3ffp-2000A-8R1  | Parallel,Redur,13A1030.3ffp,Parallel,2000,FFP,L3,"0,405","0,146",,,,"0,017","-0,007",,"146,01","778,733"
9,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2000,Standard,L1,"0,196","-0,068",,,,"-0,477","-2,671",,"45,5",634291
10,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2000,Standard,L2,"0,201","-0,014",,,,"-1,971","-4,24",,"45,5",634291
11,Celsa 2025 12 05 1356-Celsa-ALO 10030-2000A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2000,Standard,L3,"0,401","0,083",,,,"-0,427","-3,071",,"45,5",634291
12,Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2000,Standard,L1,"0,183","-0,103",,,,"-0,273","-0,317",,"45,5",634291
13,Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2000,Standard,L2,"0,53","-0,026",,,,"-0,211","-0,23",,"45,5",634291
14,Celsa 2025 12 08 0856-Celsa-ALO 10030-2000A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2000,Standard,L3,"0,48","0,072",,,,"-0,153","-0,758",,"45,5",634291
15,Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,Celsa,ALO 8030 K,Dreieck,2000,Kompensiert,L1,"0,114","-0,115",,,,"-0,306","-0,338",,"95,95","710,2"
16,Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,Celsa,ALO 8030 K,Dreieck,2000,Kompensiert,L2,"0,22","-0,134",,,,"-0,279","-0,299",,"95,95","710,2"
17,Celsa 2025 12 08 1026-Celsa-ALO 8030 K-2000A-8R1  | Dreieck,Celsa,ALO 8030 K,Dreieck,2000,Kompensiert,L3,"0,232","-0,11",,,,"-0,252","-0,295",,"95,95","710,2"
18,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,MBS,ASK101.4,Dreieck,2000,Standard,L1,"0,133","-0,097",,,,"-0,284","-0,305",,"43,67","733,2"
19,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,MBS,ASK101.4,Dreieck,2000,Standard,L2,"-0,279","-0,248",,,,"-0,204","-0,232",,"43,67","733,2"
20,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1  | Dreieck,MBS,ASK101.4,Dreieck,2000,Standard,L3,"0,016","-0,044",,,,"-0,163","-0,166",,"43,67","733,2"
21,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,Redur,13A1030.3ffp,Dreieck,2000,FFP,L1,"0,473","0,022",,,,"-0,12","-0,121",,"146,01","778,733"
22,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,Redur,13A1030.3ffp,Dreieck,2000,FFP,L2,"0,338","0,088",,,,"-0,094","-1,533",,"146,01","778,733"
23,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1  | Dreieck,Redur,13A1030.3ffp,Dreieck,2000,FFP,L3,"0,471","0,111",,,,"0,126","-0,07",,"146,01","778,733"
24,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,Celsa,ALO 12070,Dreieck,3000,Standard,L1,"0,138","-0,174","-0,257","-0,314","-0,343","-0,385","-0,685","104,101","71,51",1520
25,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,Celsa,ALO 12070,Dreieck,3000,Standard,L2,"0,201","-0,093","-0,173","-0,196","-0,201","-0,207","-0,227","75,045","71,51",1520
26,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,Celsa,ALO 12070,Dreieck,3000,Standard,L3,"0,33","0,059","-0,05","-0,113","-0,136","-0,035","-0,018","73,706","71,51",1520
27,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,Celsa,ALO 10050 K,Dreieck,2500,Kompensiert,L1,"-0,029","-0,186","-0,229","-0,255","-0,259","-0,279","-0,305","88,058","104,2",1027
28,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,Celsa,ALO 10050 K,Dreieck,2500,Kompensiert,L2,"0,009","-0,14","-0,188","-0,222","-0,242","-0,275","-0,549","67,479","104,2",1027
29,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,Celsa,ALO 10050 K,Dreieck,2500,Kompensiert,L3,"0,102","-0,077","-0,126","-0,171","-0,192","-0,229","-0,317","53,399","104,2",1027
30,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2500,Standard,L1,"0,159","-0,107","-0,247","-1,678","-3,337","-5,066","-8,278","179,874","45,5",634291
31,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2500,Standard,L2,"0,073","-0,204","-0,316","-1,568","-1,763","-1,834","-1,95","143,548","45,5",634291
32,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2500,Standard,L3,"0,182","-0,139","-0,256","-1,126","-2,232","-3,452","-5,437","159,314","45,5",634291
33,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,Celsa,ALO 12070 K,Dreieck,3000,Kompensiert,L1,"0,273","-0,093","-0,17","-0,184","-0,163","-0,141","-0,076","83,93","346,06",1520
34,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,Celsa,ALO 12070 K,Dreieck,3000,Kompensiert,L2,"0,296","0,022","-0,073","-0,108","-0,088","-0,073","0,097","56,013","346,06",1520
35,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8  | Dreieck,Celsa,ALO 12070 K,Dreieck,3000,Kompensiert,L3,"0,338","0,153","0,137","0,169","-0,037","-0,045","-0,046","112,323","346,06",1520
36,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8  | Parallel,Celsa,ALO 12070 K,Parallel,3000,Kompensiert,L1,"0,194","-0,07","-0,176","-0,174","-0,15","-0,118","-0,072","64,098","346,06",1520
37,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8  | Parallel,Celsa,ALO 12070 K,Parallel,3000,Kompensiert,L2,"0,209","-0,009","-0,099","-0,071","0,022","0,266","0,929","44,036","346,06",1520
38,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8  | Parallel,Celsa,ALO 12070 K,Parallel,3000,Kompensiert,L3,"0,345","0,11","0,001","-0,031","-0,018","0,012","0,082","91,448","346,06",1520
39,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,Celsa,ALO 12070,Parallel,3000,Standard,L1,"0,265","-0,195","-0,225","-0,301","-0,349","-0,418","-1,017","130,698","71,51",1520
40,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,Celsa,ALO 12070,Parallel,3000,Standard,L2,"0,285","-0,089","-0,158","-1,081","-1,89","-2,924","-5,426","146,408","71,51",1520
41,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,Celsa,ALO 12070,Parallel,3000,Standard,L3,"0,253","-0,03","-0,098","-0,138","-0,149","-0,17","-0,91","58,85","71,51",1520
42,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,Celsa,ALO 10050 K,Parallel,2500,Kompensiert,L1,"0,081","-0,164","-0,232","-0,273","-0,306","-0,291","-0,326","88,237","104,2",1027
43,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,Celsa,ALO 10050 K,Parallel,2500,Kompensiert,L2,"0,247","-0,104","-0,192","-0,238","-0,301","-0,372","-1,012","92,169","104,2",1027
44,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,Celsa,ALO 10050 K,Parallel,2500,Kompensiert,L3,"0,234","-0,053","-0,135","-0,173","-0,199","-0,197","-0,264","63,838","104,2",1027
45,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2500,Standard,L1,"-0,061","-0,214","-0,653","-7,423","-10,056","-12,37","-16,238","399,259","45,5",634291
46,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2500,Standard,L2,"0,06","-0,117","-2,732","-11,571","-14,277","-16,623","-20,565","551,713","45,5",634291
47,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2500,Standard,L3,"0,18","0,031","-0,119","-5,352","-7,856","-10,099","-13,862","271,428","45,5",634291
48,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0  | Parallel,Celsa,ALO 12070,Parallel,3000,Standard,L1,"0,084","-0,132","-0,218","-0,276","-0,318","-0,395","-1,857","84,51","71,51",1520
49,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0  | Parallel,Celsa,ALO 12070,Parallel,3000,Standard,L2,"0,169","-0,039","-0,131","-0,598","-1,415","-2,537","-5,113","98,621","71,51",1520
